Lookup_7_digit_VIN,1,Production Year,Brand Name,Series ,Badge,Body Code,Body Style,Cylinders,Drive Line,AWD/RWD,Fuel,Product Name
A310019,53,2002,MERCEDES-BENZ,ML,ML500,w163,SUV,V8,Automatic,AWD,Gas,DISMANTLED - Mercedes-Benz ML500 4x4 5L V8 5dr SUV Alabaster White US Built 2002
A454228,54,2009,BMW,3 SERIES,328xi,e90,Sedan,6 cyl,Automatic,AWD,Gas,DISMANTLED DH-2 BMW A454228 E90 328xi SEDAN AWD N52 AUTOMATIC BUILT:APRIL 2009 Titan-silber (354) LEDER SWARTZ Euro All Parts
AB7869,55,2004,BMW,3 SERIES,330i,e46,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e46 AB7869 Sedan C BMW e46 330i Hit in Front Black on Tan 6 CYL M54 5spd Manual 2004 AB7869
AM53924,56,1995,BMW,3 SERIES ,318ti,e36,Hatchback,4 cyl,Manual,RWD,Gas,DISMANTLED - e36 AM53924 Touring - hatchback C BMW E36 3 Series Compact 318ti Nov 95 M42 AM53924 5 spd
AO18279,57,2009,AUDI,,A5,B8,Sedan,V6,Manual,AWD,Gas,DISMANTLED - A5 AO18279 AO18279 CH AUDI A5 S-LINE AUTO 2009 V6 3.2L 3189cc Quattro AUTO Tiptronic
AS98955,58,1996,BMW,3 SERIES,318ti,e36,Hatchback,4 cyl,Automatic,RWD,Gas,DISMANTLED - e36 AS98955 Touring - hatchback D BMW e36 318ti 1996 M44 4 cylinder with PP hatchback Black on Taupe
AS99979,59,1997,BMW,3 SERIES,318ti,e36,Hatchback,4 cyl,Manual,RWD,Gas,DISMANTLED - e36 AS99979 Touring - hatchback D BMW e36 318ti M44 4 cyl 5 Spd Hatchback Built Nov 1997 Silver AS99979
AU36247,60,1996,BMW,3 SERIES,318ti,e36,Hatchback,4 cyl,Automatic,RWD,Gas,DISMANTLED - e36 AU36247 Touring - hatchback D BMW e36 318ti Built Feb 1996 4 Cyl M44 Automatic 3 door hatch back AU36247
AV15887,61,1996,BMW,3 SERIES,328i,e36,Sedan,6 cyl 2.8L,Manual,RWD,Gas,DISMANTLED - e36 AV15887 C BMW e36 328i  Jan 1996 M52 2.8L 6 Cyl 5 Spd Manual AV15887
AV20771,62,1997,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - E36 AV20771 Sedan D BMW E36 328I  M52 ATIKIS SILVER 5 SPEED MAUAL
AV22396,63,1997,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - E36 AV22396 Sedan C BMW E36 3 Series 328i  AV22396 Nov 97 M52
AV22668,64,1997,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E36 AV22668 Sedan V BMW e36 328i  Built Nov 1997 M52 6 cyl Auto AV22668 PARTS
AV23672,65,1998,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - E36 AV23672 Sedan C BMW e36 328i  Built Jan 1998 6 cyl M52 with 5 Spd AV23672 Silver on Black
AV42065,66,1996,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Automatic,RWD,Gas,1) DISMANTLED BMW e36 328i April 1996 3 Serie Sedan 6 CYL M52 Auto AV42065 Euro All Parts AV42065- B
AV53307,67,1997,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED- AV53307 BMW e36 328i Sedan 4dr BUILT May 1997 6 CYL M52 Auto VIN AV53307 Euro All Parts AV53307- B
AV53852,68,1997,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E36 AV53852 Sedan V BMW e36 328i 4 dr  June 1997 M52 Auto Black on Gray Sport AV53852
AV57560,69,1997,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E36 AV57560 Sedan C BMW e36 328i  Built Nov 1997 6 Cyl M52 DV Auto AV57560 1989 to 2000
AV64355,70,1999,BMW,3 SERIES,328i,e36,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E36 AV64355 Sedan C BMW E36 328i M52 6 cyl Automatic VIN AV64355  April 1999
AW18276,71,2005,BMW,3 SERIES,323i,e90,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E90 AW18276 C BMW AW18276 E90 323i BUILT MAY 2005 N52 6 CYL AUTO Schwarz 2
B048559,72,2004,BMW,5 SERIES,530i,e60,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - E60 B048559 S BMW e60 530i 5 Series Aug 2004 M54 6 cyl Auto Hit B048559
B048623,73,2007,BMW,5 SERIES,530i,e60,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e60 B048623 C BMW B048623 E60 530i BUILT 07 2004 M54 6 SPD Black-sapphire Metallic LEATHER dakota schwarz
B088567,74,2004,BMW,5 SERIES,545i,e60,Sedan,V8,Manual,RWD,Gas,DISMANTLED - e60 B088567 C BMW E60 2001-2009 545i JULY 2004 N62 V8 B088567 BMW-Luvv
B088589,75,2004,BMW,5 SERIES,545i,e60,Sedan,V8,Manual,RWD,Gas,DIDMANTLED- CH B088589 BMW E60 545i 6 SPEED MANUAL STICK M62 V8 BUILT JULY 2004 TITIAN SILVER ON BLACK M SPORT LEATHER PACKAGE WALNUT TRIM
B290630,76,1991,BMW,6 SERIES,633CSi,e24,Coupe,6 cyl,Manual,RWD,Gas,DISMANTLED - e24 B290630 S BMW e24 633CSi 2 dr  M30 6 cyl 5 spd white & black May 1991 B290630
